Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
73,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_033,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/033_Саран_нэ_т_мольща_ыл.wav,156.710,162.030,"Саран нэ̄т мольща­ӈыл о̄лэ̄гыт, та̄н маснута­ныл о̄с суссылтыянӯв.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
74,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_034,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/034_Ка_сы_сахи_такви_хор.wav,162.070,166.600,"Ка̄сыӈ сахи такви хорам о̄ньщи, такви щирыл ю̄н­тым о̄лы.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
75,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_035,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/035_Акван_атхатыглам_ма_.wav,166.660,171.050,Акван-атхатыглам ма̄­хум сахит сунсыг­лым ё̄мыгтасыт.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
76,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_036,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/036_Тот_кит_ма_ньщи_сахи.wav,171.110,174.350,Тот кит ма̄ньщи сахииг суссылтавесы̄г.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
77,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_037,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/037_Ха_льус_район_Кульпа.wav,174.420,179.560,Ха̄льус район Кульпам па̄вылт о̄лум ма̄ньщи нэ̄г тэ̄н ю̄нтыгласэ̄г.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
78,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_038,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/038_Т_плый_север_нампа_с.wav,179.610,184.180,Тёплый север нампа суссылтап Ханты-Мансийск ӯст ма̄-вит.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
79,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_039,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/039_Ос_э_лумхо_лас_музей.wav,184.260,187.280,Ос э̄лумхо̄лас музейт ре̄тыӈ ю̄свой э̄тпос.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
80,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_040,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/040_О_выл_хо_талэ_мус_р_.wav,187.320,190.050,О̄выл хо̄талэ мус рӯпитаӈкве паты.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
81,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_001,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/001_Лильпи_ханищтахтын_м.wav,0.000,2.180,Лильпи ханищтахтын ма̄хумыт.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
82,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_002,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/002_С_кыр_э_тпос_Санкт_П.wav,3.270,11.040,Сӯкыр э̄тпос Санкт-Петербург ӯст Герцен нампа институтна о̄выл щёс ма̄хумыт ханищтахтуӈкве ёхтасыт.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
83,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_003,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/003_Ам_тот_ханищтахтын_х.wav,11.220,15.340,"Ам тот ханищтахтын хо̄тпат ёт потыртасум, та̄н тох ла̄всыт.",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
84,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_004,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/004_Елизавета_Новьюхова_.wav,15.470,17.260,Елизавета Новьюхова.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
85,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_005,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/005_Паща_о_лэ_н_.wav,17.430,18.530,Паща о̄лэ̄н!,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
86,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_006,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/006_Ам_ханты_а_ги_.wav,18.540,19.870,Ам ханты а̄ги. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
87,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_007,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/007_Ханты_Мансийск_ст_са.wav,19.890,22.110,Ханты-Мансийск ӯст самын патсум. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
88,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_008,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/008_А_щум_ханты_ща_нюм_р.wav,22.290,24.410,"А̄щум ханты, ща̄нюм рущ. ",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
89,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_009,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/009_Ам_щ_мьямт_ханты_ла_.wav,24.580,28.960,Ам щēмьямт ханты ла̄тӈыл анēквам ос а̄щум ёт потыртасум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
90,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_010,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/010_Ма_нь_пора_та_гыл_п_.wav,29.070,32.410,Ма̄нь пора та̄гыл пēс ва̄рмалит пӯмащлэ̄юм. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
91,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_011,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/011_Ам_Лылы_со_юм_кол_ле.wav,32.700,38.670,"Ам «Лылыӈ со̄юм» кол­лективта ханты йӣквыт йӣквасум, са̄ӈквылтапыл са̄ӈквылтасум.",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
92,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_012,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/012_Сакныл_са_всыр_пальс.wav,38.830,42.320,Сакныл са̄всыр пальсакыт ос а̄ка­нит ва̄рсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
93,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_013,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/013_Кит_со_тыра_онтоловх.wav,42.540,50.640,Кит со̄тыра онтоловхуйплов та̄лт Санкт-Пе­тер­бург яныг ӯст кина по̄с­лын нампа институтта ха­нищтахтасум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
94,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_014,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/014_Ам_тамле_ла_т_ыл_нам.wav,50.640,67.120,"Ам тамле ла̄тӈыл намтым ва̄рмалит колыт: МБУ КДЦ «Ма̄нь таквс э̄тпос», «Яныг кина ма̄ «СПбГИКиТ», «ЛенДок», «Ленфильм», «Киностудия ВГИК» ос «Мосфильм» ялантасум.",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
95,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_015,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/015_Кит_со_тыра_ва_т_нуп.wav,67.210,72.290,Кит со̄тыра ва̄т нупыл нила та̄лт ам грант-олныл та̄стувēсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
96,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_016,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/016_Тувыл_режисерский_ку.wav,72.310,75.120,Тувыл режисерский курсыт ханищтахтасум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
97,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_017,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/017_Астлан_порат_ам_кина.wav,75.250,78.040,Астлан порат ам кина по̄слы­сум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
98,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_018,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/018__Ям_Нумасн_ханты_ла_.wav,78.100,82.080,«Ям Нумасн» ханты ла̄тӈыл наме о̄лы.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
99,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_019,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/019_Тот_ам_а_щум_урыл_су.wav,82.360,84.840,Тот ам а̄щум урыл суссылтасум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
100,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_020,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/020_Вероника_Кантерова_.wav,84.870,86.500,Вероника Кантерова.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
101,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_021,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/021_Паща_о_лэ_н_.wav,86.920,88.120,Паща о̄лэ̄н! ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
102,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_022,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/022_Ам_ханты_а_ги_.wav,88.160,89.450,Ам ханты а̄ги.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
103,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_023,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/023_Казым_па_вылт_ишкола.wav,89.670,93.140,Казым па̄вылт ишколат онтолов класс холтсум. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
104,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_024,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/024_Э_лаль_Ханты_Мансийс.wav,93.550,99.440,Э̄лаль Ханты-Мансийск ӯс технолого-педагогический колледжит ханищтах­туӈкве патсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
105,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_025,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/025_Ам_спе_циальностюм_и.wav,99.650,104.770,Ам спе­циальностюм «ин­фор­мационные сис­темы и програм­мирование» ла̄­ваве. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
106,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_026,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/026_Яныг_щ_мья_о_нь_щ_гу.wav,105.050,106.930,Яныг щēмья о̄нь­щēгум. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
107,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_027,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/027_Ам_щ_нюм_ос_щум_хант.wav,107.300,111.110,Ам щāнюм ос āщум ханты ла̄тӈыл ёмащакв потыртэ̄г. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
108,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_028,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/028_Кит_а_пщиягум_тай_то.wav,111.280,116.430,"Кит а̄пщиягум тай торгамтэ̄г, ос ювле рущ ла̄тыӈ потыртэ̄г. ",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
109,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_029,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/029_Ам_ос_э_щ_о_ньщ_гум_.wav,116.960,119.120,Ам ос э̄щ  о̄ньщēгум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
110,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_030,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/030_Тав_ат_потырты_.wav,119.160,120.460,Тав ат потырты. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
111,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_031,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/031_А_нумн_э_ри_са_всыр_.wav,120.500,123.510,А̄нумн э̄ри са̄всыр ва̄­нэ ва̄рмаль виӈкве. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
112,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_032,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/032_Ху_мус_ма_хумыт_ла_в.wav,123.850,128.780,Ху­мус ма̄хумыт ла̄вēгыт – «са̄в та̄л о̄лэн – са̄в та̄л ханищтахтэн». ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
113,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_033,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/033_Ам_суй_та_л_э_лмхо_л.wav,129.260,133.010,"Ам суй­та̄л э̄лмхо̄лас, ёмас номт ва̄ӈкве таӈхēюм.",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
114,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_034,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/034_Варвара_Ковалева_.wav,133.070,134.440,Варвара Ковалева.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
115,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_035,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/035_Паща_о_лэ_н_.wav,134.640,135.670,Паща о̄лэ̄н! ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
116,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_036,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/036_Ам_рущ_а_ги_Нижний_Т.wav,135.670,140.360,"Ам рущ а̄ги, Нижний Тагил ӯсныл ханищтахтуӈкве ёхтасум. ",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
117,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_037,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/037_Тав_Свердловский_об_.wav,140.760,143.110,Тав Свердловский об­ласьта о̄лы.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
118,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_038,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/038_Ма_н_щ_мьявт_о_лэ_в_.wav,143.120,148.500,"Ма̄н щēмьявт о̄лэ̄в: ща̄нюм, а̄щум, ам ос э̄щум. ",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
119,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_039,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/039_Ма_нь_пора_та_гыл_му.wav,148.940,155.310,"Ма̄нь пора та̄­гыл музеит хӯнтласум, хумус са̄в мирыт Урал ма̄ янытыл о̄лсыт. ",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
120,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_040,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/040_Ам_а_щум_л_има_мирыт.wav,155.330,158.470,Ам а̄щум лӯима̄ мирыт урыл сака потыртас.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
121,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_041,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/041_Тувыл_та_пора_та_гыл.wav,158.910,163.830,Тувыл та пора та̄гыл мир ювле хультум о̄лупсаныл ва̄рмалит пӯм­ащлэ̄м.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
122,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_042,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/042_Ишколат_рущ_ла_ты_эк.wav,163.830,168.680,Ишколат рущ ла̄тыӈ экзамент яныгса̄т балл висум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
123,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_043,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/043_Ос_Изум_руд_нампа_шк.wav,169.000,173.010,Ос «Изум­руд» нампа школьный олимпиадат но̄х-патсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
124,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_044,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/044__тылнув_Герцен_нампа.wav,173.450,178.930,Ётылнув Герцен нампа лӯима̄ институтна минуӈкв номсахтуӈкве патсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
125,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_045,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/045_А_нумн_институтта_ха.wav,178.980,184.280,А̄нумн институтта ха­нищтахтуӈкве ёмас ос ня̄врамыт ханищтан нэ̄т ёмасыт. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
126,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_046,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/046_Тыт_ам_са_в_мас_ма_х.wav,184.280,187.510,Тыт ам са̄в ёмас ма̄хум ёт ва̄йхатуӈкв патсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
127,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_047,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/047_Ам_лильпи_ма_хмыт_т_.wav,188.030,190.580,Ам лильпи ма̄хмыт ёт та̄ра-патхатасум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
128,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_048,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/048_Ам_са_в_юрт_а_гит_т_.wav,190.770,193.890,Ам са̄в юрт а̄гит ёт потыртаӈкв патсум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
129,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_049,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/049_Ос_Увас_хус_студенче.wav,194.000,197.550,Ос «Увас хус» студенческий ва̄рмалин патхатсум. ,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
130,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_050,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/050_А_нумн_тыт_са_ка_мас.wav,197.880,199.320,"А̄нумн тыт са­ка ёмас!
",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
131,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_051,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/051_Ханищтахту_кве_х_тум.wav,199.420,203.190,Ханищтахтуӈкве ёх­тум а̄гитын ам пӯмащипа ла̄тыӈ ла̄вēгум.,f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
132,Сатина Мария,mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362_052,Сатина Мария/mns_f200f116-5d2a-42d9-bb8c-9204dbcd0362/052_Пуста_гыл_вос_о_лэ_г.wav,203.320,206.480,"Пуста̄гыл вос о̄лэ̄гыт, ёмщакв вос ханищтахтэ̄гыт!",f200f116-5d2a-42d9-bb8c-9204dbcd0362,ГД
